[																									
]																									
鱇	k		a	ng	1						k		a	ng	None						k		o	u	None
鱈	x	u	e		3	s	i	u	t	8											s		e	tsu	None
鳤	g	u	a	n	3																				
鷋	t		u		2	t		ou		4						ch		a		2					
鷐	ch		e	n	2	s		a	n	4															
鷑	j		i		2	l		a	p	7															
鷒	t	u	a	n	2	t	i	u	n	4															
鷓	zh		e		4	z		e		3	c		a		None						s	y	a		None
鷔			ao		2	ng		ou		6											&g	&y	o&u	&u	None&None&None
鷕		i	ao		3		i	u		4&6												&y	i&o&u	&i&u	None&None&None
鷖		i	i		1		i	i		1		y	ey		None								e	i	None
鷗			ou		1			au		1	k	w	u		None								o	u	None
鷘	ch		i		4	c		i	k	7															
鷙	zh		i		4	z		i		3	c		i		None						s&t		i	&tsu	None&None
鷚	l	i	u		4	l		au		6											b&m&r	&y	o&u	&u	None&None&None&None
鷛		i	o	ng	1		i	u	ng	4															
鷜	l		v		2																				
鷝	b		i		4																				
鷞	sh	u	a	ng	1	s		o&oe	ng	1&2											s	&y	o	u	None&None
鷟	zh	u	o		2	z		o	k	8&9						s		a	t	8	s&z		a	ku	None&None
鷠		i	u		2																&g	&y	o		None&None
鹳	g	u	a	n	4	g		u	n	3															
鹴	sh	u	a	ng	1																				
麞	zh		a	ng	1	z		oe	ng	1	c		a	ng	None						s	y	o	u	None
麶	ch		i		5																				
黐	ch		i		1	c		i		1	l		i		None						r&t		i		None&None
黰	zh		e	n	3	z		a	n	2											&s		a&e&i	n	None&None&None
黱	d		ai		4																d&t&z		a&i	i&n	None&None&None&None
鼲	h		u	n	2		u	a	n	4											g&k		o	n	None&None
鼳	j		u		2																				
鼴		i	a	n	3		i	i	n	2			e	n	None								e&o	n	None&None
鼵	t		u		1	d		a	t	9															
齂	x	i	e		4																				
齪	ch	u	o		4	c		u	k	7	ch		a	k	None						s	&y	a&o	ku	None&None&None
齫	k		u	n	3						k		o	n	None										
齬		i	u		3		i	u		5			e		None						&g	&y	o		None&None
龓	l		o	ng	3																				
龔	g		o	ng	1	g		u	ng	1	k		o	ng	None						&k	&y	o&u	&u	None&None&None&None
龕	k		a	n	1	h		a	m	1	k		a	m	None						g&k		a	n	None&None
龢	h		e		2		u	o		4	h	w	a		None						&k	&w	a		None&None
蘆	l		u		2	l		ou		4	&l	&y	e&o		None&None						r		o		None
籠	l		o	ng	2	l		u	ng	4&5	l		o	ng	None	l		ô	ng	2	r		o	u	None
聾	l		o	ng	2	l		u	ng	4	l		o	ng	None						r		o	u	None
讀	d		u		2	d		au&u	&k	6&9	t	&w	o&u	&k	None&None	đ		ô	c	8	d&t		o	ku&u	None&None&None
轢	l		i		4	l		i	k	7	l	y	e	k	None						r		e	ki	None
戀	l	i	a	n	4	l	i	u	n	2&5	l	y	e	n	None	l	uy	ê	n	3	r		e	n	None
藺	l		i	n	4	l		eo	n	6	l		i	n	None						r		i	n	None
鶴	h		e		4	h		o	k	9	h		a	k	None	h		a	c	8	k		a	ku	None
