[																									
]																									
䵟	g		a	n	3	g		o	n	2															
僲	x	i	a	n	5																				
僵	j	i	a	ng	1	g		oe	ng	1	k		a	ng	None							y	o	u	None
僶	m		i	n	3	m		a	n	5											b&m		i	n	None&None
僸	j		i	n	4	g		a	m	3											k		i&o	n	None&None
價	j	i	a		4	g		aa		3	k		a		None	g	i	a		3	k		a&e		None&None
僺	q	i	ao		4																s	y	o	u	None
僻	p		i		4	p		i	k	7	p&ph	&y	e&i	&k	None&None						h		e&i	&i&ki	None&None&None
僼	f		e	ng	1																h		o	u	None
僽	zh		ou		4	z		au		3											s	y	u	u	None
僾			ai		4			oi		2&3			ay		None								a	i	None
僿	s		ai		4	s&z		i		1&6	s		a		None						s		a&i	&i	None&None
儀		i	i		2		i	i		4			uy		None	ngh		i		1	g		i		None
儁	j		u	n	4						c	w	u	n	None						s	y	u	n	None
儂	n		o	ng	2	n		u	ng	4	n		o	ng	None	n		u	ng	2	d&n		o	u	None&None
儃	ch		a	n	2	c&s&t		aa&i	n	2&4&4	ch		e	n	None						d&s&t&z		a&e	n	None&None&None&None
億		i	i		4		i	i	k	7			e	k	None			ư	c	7		&y	o	ku	None&None
儅	d		a	ng	4																t		o	u	None
儆	j		i	ng	3	g		i	ng	2	k	y	e	ng	None						k&s	&y	e&o	i&u	None&None
儇	x	u	a	n	1	h	i	u	n	1	h	y	e	n	None						k		e	n	None
儈	k	u	ai		4	k	u	i		2						c	u	i		3	k		a&e	&i	None&None
儉	j	i	a	n	3	g		i	m	6	k		e	m	None	k	i	ê	m	4	k		e	n	None
儊	ch		u		4	c		o		3											s	y	o		None
儋	d		a	n	1	d		aa	m	1	t		a	m	None						s&t&z		a&e	n	None&None&None
儌	j	i	ao		3	g&h	i	u		1&1&2											k		e	u	None
儍	sh		a		3	s		o		4											s		a		None
儎	z		ai		4																s		a	i	None
儏	c		a	n	5																				
凙	d	u	o		2																d&t&z	&y	a	ku	None&None&None
凚	j		i	n	4																				
凛	l		i	n	3	l		a	m	5	l		u	m	None						r		i	n	None
凜	l		i	n	3	l		a	m	5	l		u	m	None	l		â	m	6	r		i	n	None
劅	zh	u	o		4																t		a	ku	None
劆	l	i	a	n	2																r		e	n	None
劇	j		u		4	k		e	k	9	k		u	k	None	k		i	ch	8	&g&k	&y	a&e	ki&ku	None&None&None
劈	p		i		1	p		e&i	k	7&8&9	p	y	e	k	None						&h	&y	a&e	ki&ku	None&None
劉	l	i	u		2	l		au		4	l	y	u		None						r	&y	u	&u	None&None
劊	g	u	i		4	g&k	u	i		2&3											k		a&e	&i&tsu	None&None&None
劋	j	i	ao		3																&s	&y	o	u	None&None
劌	g	u	i		4	g	u	ai		3											k		e	&i	None&None
劍	j	i	a	n	4	g		i	m	3	k		e	m	None	k	i	ê	m	3	k		e	n	None
劎	j	i	a	n	4																k		e	n	None
劏	t		a	ng	1	t		o	ng	1															
勮	j		u		4																				
勯	d		a	n	1	d		aa	n	1											t		a	n	None
勰	x	i	e		2	h		i	p	9												y	o	u	None&None
勱	m		ai		4	m		aai		6											b&m		a&e	&i	None&None
勲	x		u	n	1																k		u	n	None
匔	q	i	o	ng	1																				
匳	l	i	a	n	2																r		e	n	None
厱	l		a	n	2																				
厲	l		i		4	l		ai		6	l	y	e		None	l		e		4	r		a&e	chi&i&tsu	None&None&None&None
叇	d		ai		4																t		a	i	None
嘟	d		u		1	d		ou		1											t&z		o&u		None&None
嘠	g		a		1																k		a	tsu	None
嘨	x	i	ao		4																s	&y	i&o&u	tsu&u	None&None&None
嘩	h	u	a		1		i&u	aa&i	&p	1&4&9	h	w	a		None						k		a&e		None&None
嘪	m		ai		3																b&m		a&e	&i	None&None
嘫	r		a	n	2											nh	o	e	n	5	d&n&z		a&e	m&n	None&None&None&None
嘬	ch	u	ai		4	c&z	&i	aai&u	&t	3&8	ch		oy		None	ch	ô	i		3	s		a&e	&i	None&None&None
嘭	p		e	ng	1	b&p		aa	ng	1&4											&h	&y	o	u	None&None
嘮	l		ao		2	l		ou		4						l		ao		1	&k&r&t	&y	a&o	&u	None&None&None&None&None&None
嘯	x	i	ao		4	s	i	u		3	s		o		None						s	&y	i&o	tsu&u	None&None
嘰	j		i		1	g		ei		1											g&k		e&i		None&None&None
嘱	zh		u		3	z		u	k	7											s	y	o	ku	None
嘲	ch		ao		2	z		aau		1	c		o		None	tr		ao		2	t	&y	o	u	None&None
嘳	k	u	i		4	k	u	aai		3											k		e&i		None&None
嘴	z	u	i		3	z		eoi		2	ch	w	i		None						s		i		None
嘵	x	i	ao		1	h	i	u		1						ngh		êu		1	g&k		e	u	None&None
嘶	s		i		1	s		ai&i		1&1	s		i		None	t		ê		1	s		e	i	None
嘷	h		ao		2						h		o		None						g&k		o	u	None&None
嘸	f		u		3	f&m		@&ou&u		1&2&4&5	m	w	u		None						b		u		None
嘹	l	i	ao		2	l	i	u		4	l	y	o		None	r		êu		1	r	&y	e&o	u	None&None
嘺	q	i	ao		2	k	i	u		2&4						gh		eo		4		y	o	u	None&None
嘻	x		i		1	h		ei		1	h		uy		None	h		i		1	&k		i		None&None
嘼	ch		u		4																&k&t	&y	u	&u	None&None&None
嘽	ch		a	n	3	c&t&z		aa&i	n	1&2&2											d&s&t		a&e	&n	None&None&None&None
嘾	d		a	n	4																d&t		a&o	n	None&None
嘿	h		ei		1	h		ei		1	m	w	u	k	None						b&k&m		o	ku	None&None&None
噀	x		u	n	4	s		eo	n	3						s		u	n	3	s		o	n	None
噁			e		3	&ng		o	k	8&8			o		None			a	c	8			a&o&u	&ku	None&None&None
噂	z		u	n	3	z	i	u	n	2	c	w	u	n	None	t		o	n	1	s		o	n	None
噃	f		a	n	1	b		o		3											b&h		a&o	n	None&None
噄	ch		i		1																k		i	tsu	None
噆	z		a	n	3	c&z		a&aa	m	2&2&2											s		a&o	n&u	None&None
噇	ch	u	a	ng	2																t		o	u	None
